# eps0    chi2_total    delta_total
-0.100000   2706.376199     33.953121
-0.099000   2705.875588     33.452510
-0.098000   2705.378502     32.955424
-0.097000   2704.884932     32.461854
-0.096000   2704.394869     31.971792
-0.095000   2703.908305     31.485227
-0.094000   2703.425231     31.002153
-0.093000   2702.945637     30.522559
-0.092000   2702.469515     30.046438
-0.091000   2701.996857     29.573779
-0.090000   2701.527654     29.104576
-0.089000   2701.061896     28.638818
-0.088000   2700.599576     28.176498
-0.087000   2700.140685     27.717607
-0.086000   2699.685214     27.262136
-0.085000   2699.233154     26.810076
-0.084000   2698.784497     26.361420
-0.083000   2698.339235     25.916158
-0.082000   2697.897359     25.474282
-0.081000   2697.458861     25.035783
-0.080000   2697.023732     24.600654
-0.079000   2696.591963     24.168885
-0.078000   2696.163547     23.740469
-0.077000   2695.738474     23.315397
-0.076000   2695.316737     22.893660
-0.075000   2694.898328     22.475250
-0.074000   2694.483237     22.060159
-0.073000   2694.071457     21.648379
-0.072000   2693.662979     21.239901
-0.071000   2693.257795     20.834717
-0.070000   2692.855897     20.432820
-0.069000   2692.457277     20.034200
-0.068000   2692.061927     19.638849
-0.067000   2691.669838     19.246760
-0.066000   2691.281002     18.857924
-0.065000   2690.895411     18.472334
-0.064000   2690.513058     18.089980
-0.063000   2690.133934     17.710856
-0.062000   2689.758030     17.334953
-0.061000   2689.385340     16.962262
-0.060000   2689.015855     16.592777
-0.059000   2688.649567     16.226489
-0.058000   2688.286468     15.863390
-0.057000   2687.926550     15.503473
-0.056000   2687.569806     15.146729
-0.055000   2687.216227     14.793150
-0.054000   2686.865806     14.442729
-0.053000   2686.518535     14.095457
-0.052000   2686.174406     13.751328
-0.051000   2685.833411     13.410333
-0.050000   2685.495542     13.072465
-0.049000   2685.160792     12.737715
-0.048000   2684.829154     12.406076
-0.047000   2684.500618     12.077541
-0.046000   2684.175178     11.752101
-0.045000   2683.852827     11.429749
-0.044000   2683.533555     11.110478
-0.043000   2683.217357     10.794279
-0.042000   2682.904223     10.481146
-0.041000   2682.594148     10.171070
-0.040000   2682.287122      9.864044
-0.039000   2681.983139      9.560061
-0.038000   2681.682190      9.259113
-0.037000   2681.384270      8.961192
-0.036000   2681.089369      8.666292
-0.035000   2680.797482      8.374404
-0.034000   2680.508599      8.085521
-0.033000   2680.222714      7.799637
-0.032000   2679.939820      7.516743
-0.031000   2679.659909      7.236831
-0.030000   2679.382974      6.959896
-0.029000   2679.109007      6.685929
-0.028000   2678.838001      6.414923
-0.027000   2678.569949      6.146872
-0.026000   2678.304844      5.881766
-0.025000   2678.042678      5.619601
-0.024000   2677.783445      5.360367
-0.023000   2677.527136      5.104058
-0.022000   2677.273745      4.850668
-0.021000   2677.023265      4.600187
-0.020000   2676.775688      4.352611
-0.019000   2676.531008      4.107931
-0.018000   2676.289217      3.866140
-0.017000   2676.050309      3.627231
-0.016000   2675.814275      3.391197
-0.015000   2675.581110      3.158032
-0.014000   2675.350805      2.927728
-0.013000   2675.123355      2.700278
-0.012000   2674.898752      2.475675
-0.011000   2674.676989      2.253912
-0.010000   2674.458060      2.034982
-0.009000   2674.241956      1.818879
-0.008000   2674.028672      1.605595
-0.007000   2673.818201      1.395123
-0.006000   2673.610535      1.187458
-0.005000   2673.405668      0.982591
