# H(z) ΛCDM and ΨCDM fits
N_Hz = 32
chi2_LCDM = 11.78688559
chi2_LCDM_red = 0.39289619
best_eps0 = 5.50000000e-02
chi2_Psi_best = 11.74585998
chi2_Psi_best_red = 0.39152867
Delta_chi2 = -0.04102561

# eps0   chi2
-2.000000e-01  12.96198231
-1.950000e-01  12.90616722
-1.900000e-01  12.85204339
-1.850000e-01  12.79957924
-1.800000e-01  12.74874384
-1.750000e-01  12.69950688
-1.700000e-01  12.65183866
-1.650000e-01  12.60571009
-1.600000e-01  12.56109267
-1.550000e-01  12.51795846
-1.500000e-01  12.47628009
-1.450000e-01  12.43603073
-1.400000e-01  12.39718411
-1.350000e-01  12.35971444
-1.300000e-01  12.32359648
-1.250000e-01  12.28880547
-1.200000e-01  12.25531713
-1.150000e-01  12.22310768
-1.100000e-01  12.19215379
-1.050000e-01  12.16243259
-1.000000e-01  12.13392166
-9.500000e-02  12.10659901
-9.000000e-02  12.08044307
-8.500000e-02  12.05543271
-8.000000e-02  12.03154719
-7.500000e-02  12.00876617
-7.000000e-02  11.98706970
-6.500000e-02  11.96643821
-6.000000e-02  11.94685252
-5.500000e-02  11.92829379
-5.000000e-02  11.91074355
-4.500000e-02  11.89418369
-4.000000e-02  11.87859642
-3.500000e-02  11.86396431
-3.000000e-02  11.85027023
-2.500000e-02  11.83749739
-2.000000e-02  11.82562931
-1.500000e-02  11.81464982
-1.000000e-02  11.80454304
-5.000000e-03  11.79529339
 0.000000e+00  11.78688559
 5.000000e-03  11.77930463
 1.000000e-02  11.77253578
 1.500000e-02  11.76656457
 2.000000e-02  11.76137681
 2.500000e-02  11.75695857
 3.000000e-02  11.75329617
 3.500000e-02  11.75037616
 4.000000e-02  11.74818538
 4.500000e-02  11.74671085
 5.000000e-02  11.74593988
 5.500000e-02  11.74585998
 6.000000e-02  11.74645888
 6.500000e-02  11.74772455
 7.000000e-02  11.74964516
 7.500000e-02  11.75220909
 8.000000e-02  11.75540495
 8.500000e-02  11.75922153
 9.000000e-02  11.76364782
 9.500000e-02  11.76867302
 1.000000e-01  11.77428652
 1.050000e-01  11.78047787
 1.100000e-01  11.78723683
 1.150000e-01  11.79455335
 1.200000e-01  11.80241752
 1.250000e-01  11.81081964
 1.300000e-01  11.81975015
 1.350000e-01  11.82919968
 1.400000e-01  11.83915901
 1.450000e-01  11.84961909
 1.500000e-01  11.86057101
 1.550000e-01  11.87200603
 1.600000e-01  11.88391555
 1.650000e-01  11.89629114
 1.700000e-01  11.90912448
 1.750000e-01  11.92240742
 1.800000e-01  11.93613194
 1.850000e-01  11.95029016
 1.900000e-01  11.96487434
 1.950000e-01  11.97987685
 2.000000e-01  11.99529022
